493,494,0.0625,999
489,490,0.06666667,998
476,477,0.06666667,997
71,72,0.06666667,996
1002,475,0.06666667,995
487,488,0.071428575,994
201,202,0.071428575,993
21,22,0.071428575,992
979,980,0.07692308,991
501,502,0.07692308,990
478,479,0.07692308,989
128,129,0.07692308,988
975,976,0.083333336,987
711,712,0.083333336,986
597,598,0.083333336,985
297,298,0.083333336,984
291,292,0.083333336,983
0,1,0.083333336,982
923,924,0.09090909,981
699,700,0.09090909,980
583,584,0.09090909,979
484,485,0.09090909,978
482,483,0.09090909,977
124,126,0.09090909,976
122,123,0.09090909,975
88,89,0.09090909,974
37,38,0.09090909,973
1022,1021,0.09090909,972
1024,1023,0.09090909,971
1026,36,0.09090909,970
973,974,0.1,969
731,732,0.1,968
703,704,0.1,967
695,696,0.1,966
638,639,0.1,965
590,591,0.1,964
586,587,0.1,963
306,307,0.1,962
257,258,0.1,961
246,247,0.1,960
198,199,0.1,959
176,177,0.1,958
1030,972,0.1,957
1031,729,0.1,956
1034,637,0.1,955
1035,589,0.1,954
1037,303,0.1,953
1041,175,0.1,952
968,971,0.11111111,951
925,926,0.11111111,950
880,881,0.11111111,949
791,792,0.11111111,948
709,710,0.11111111,947
702,705,0.11111111,946
594,595,0.11111111,945
588,592,0.11111111,944
575,576,0.11111111,943
387,388,0.11111111,942
375,376,0.11111111,941
296,300,0.11111111,940
194,195,0.11111111,939
192,193,0.11111111,938
155,156,0.11111111,937
86,87,0.11111111,936
1051,790,0.11111111,935
1052,708,0.11111111,934
1054,593,0.11111111,933
1061,1060,0.11111111,932
1063,85,0.11111111,931
893,895,0.125,930
784,785,0.125,929
740,741,0.125,928
735,737,0.125,927
733,734,0.125,926
666,667,0.125,925
664,665,0.125,924
649,651,0.125,923
383,384,0.125,922
329,330,0.125,921
295,310,0.125,920
254,256,0.125,919
244,245,0.125,918
212,213,0.125,917
207,208,0.125,916
167,168,0.125,915
151,152,0.125,914
82,83,0.125,913
1069,892,0.125,912
1071,739,0.125,911
1073,1072,0.125,910
1075,1074,0.125,909
959,961,0.14285715,908
942,943,0.14285715,907
931,932,0.14285715,906
874,875,0.14285715,905
725,726,0.14285715,904
719,720,0.14285715,903
697,698,0.14285715,902
661,669,0.14285715,901
653,654,0.14285715,900
644,645,0.14285715,899
635,636,0.14285715,898
627,628,0.14285715,897
605,606,0.14285715,896
581,600,0.14285715,895
463,465,0.14285715,894
396,399,0.14285715,893
339,340,0.14285715,892
337,338,0.14285715,891
320,321,0.14285715,890
293,294,0.14285715,889
287,290,0.14285715,888
278,279,0.14285715,887
274,275,0.14285715,886
225,226,0.14285715,885
219,220,0.14285715,884
209,211,0.14285715,883
191,204,0.14285715,882
172,173,0.14285715,881
169,170,0.14285715,880
132,133,0.14285715,879
93,94,0.14285715,878
78,79,0.14285715,877
10,11,0.14285715,876
1094,873,0.14285715,875
1097,1096,0.14285715,874
1102,626,0.14285715,873
1103,580,0.14285715,872
1108,1107,0.14285715,871
1113,273,0.14285715,870
1118,171,0.14285715,869
1119,166,0.14285715,868
1127,1104,0.14285715,867
982,984,0.16666667,866
963,964,0.16666667,865
945,946,0.16666667,864
938,939,0.16666667,863
936,937,0.16666667,862
927,930,0.16666667,861
919,920,0.16666667,860
886,889,0.16666667,859
868,871,0.16666667,858
857,858,0.16666667,857
783,786,0.16666667,856
781,782,0.16666667,855
761,762,0.16666667,854
744,745,0.16666667,853
728,738,0.16666667,852
675,677,0.16666667,851
672,673,0.16666667,850
655,656,0.16666667,849
647,648,0.16666667,848
615,616,0.16666667,847
613,614,0.16666667,846
509,511,0.16666667,845
453,454,0.16666667,844
382,385,0.16666667,843
380,381,0.16666667,842
370,372,0.16666667,841
348,349,0.16666667,840
335,341,0.16666667,839
322,323,0.16666667,838
233,234,0.16666667,837
229,231,0.16666667,836
148,149,0.16666667,835
100,101,0.16666667,834
95,99,0.16666667,833
81,84,0.16666667,832
69,70,0.16666667,831
3,4,0.16666667,830
1134,962,0.16666667,829
1137,1136,0.16666667,828
1139,918,0.16666667,827
1142,856,0.16666667,826
1147,727,0.16666667,825
1153,612,0.16666667,824
1157,1156,0.16666667,823
1158,369,0.16666667,822
1159,346,0.16666667,821
1163,227,0.16666667,820
1165,77,0.16666667,819
1167,1166,0.16666667,818
1168,68,0.16666667,817
1181,1180,0.16666667,816
992,993,0.2,815
989,990,0.2,814
966,967,0.2,813
954,958,0.2,812
906,910,0.2,811
849,850,0.2,810
831,832,0.2,809
787,788,0.2,808
779,780,0.2,807
764,765,0.2,806
747,748,0.2,805
691,693,0.2,804
680,684,0.2,803
624,625,0.2,802
621,623,0.2,801
579,607,0.2,800
448,450,0.2,799
392,393,0.2,798
365,368,0.2,797
317,319,0.2,796
250,253,0.2,795
163,182,0.2,794
108,112,0.2,793
1188,905,0.2,792
1198,1197,0.2,791
1204,248,0.2,790
1205,162,0.2,789
1206,67,0.2,788
953,985,0.25,787
